Source,Target,Weight,Type
adib-yusril-wafi,firmanhp,1,Undirected
adib-yusril-wafi,kerenza-doxolodeo-916131158,1,Undirected
adityarizkiauli,regensa-cahyanto,2,Undirected
adityarizkiauli,ivana-irene-thomas,1,Undirected
adityarizkiauli,kelly-william-747264141,1,Undirected
adityarizkiauli,kezia-irene98,1,Undirected
adityarizkiauli,albertusangga,1,Undirected
adityarizkiauli,pardede,1,Undirected
adityarizkiauli,a-hasan-gar,1,Undirected
adityarizkiauli,kianutama,1,Undirected
adityarizkiauli,fran-na-jaya-976030120,1,Undirected
adityarizkiauli,arkha-sayoga-m,1,Undirected
adityarizkiauli,kristiantokt,1,Undirected
adityarizkiauli,izznfkhrlislm,1,Undirected
adityarizkiauli,rumanta,1,Undirected
adityarizkiauli,aselhidayat,1,Undirected
adityarizkiauli,anishainas,1,Undirected
adityarizkiauli,afihidayat,1,Undirected
adityarizkiauli,dzakyluthfi,1,Undirected
adityarizkiauli,aldobima,1,Undirected
adityarizkiauli,alsabila-shakina-prasetyo-636887155,1,Undirected
adityarizkiauli,ignatiusrdp,1,Undirected
adityarizkiauli,iamrulloh,1,Undirected
adityarizkiauli,firandra-savitri,1,Undirected
adityarizkiauli,claudio-yosafat-napitupulu,1,Undirected
adityarizkiauli,ranisianipar,2,Undirected
adityarizkiauli,firmanhp,1,Undirected
adityarizkiauli,wildanfahmig,1,Undirected
adityarizkiauli,mettaanantha,1,Undirected
adityarizkiauli,jihadrinaldi,1,Undirected
adityarizkiauli,muzakkiha,1,Undirected
adityarizkiauli,fariqodri,1,Undirected
adityarizkiauli,ilhamrizkyakbar,1,Undirected
adityarizkiauli,ramawidragamaputra,1,Undirected
adityarizkiauli,rahmaniaam,1,Undirected
adityarizkiauli,donny-samuel,1,Undirected
adityarizkiauli,kevin-prakasa,1,Undirected
adityarizkiauli,adib-yusril-wafi,2,Undirected
adityarizkiauli,hamam-wulan-ayu-811a4216b,2,Undirected
agasyan,fatanugraha,1,Undirected
agasyan,praditomo,1,Undirected
agasyan,regensa-cahyanto,2,Undirected
agasyan,hanifagungp,2,Undirected
agasyan,ivana-irene-thomas,1,Undirected
agasyan,kelly-william-747264141,1,Undirected
agasyan,kezia-irene98,1,Undirected
agasyan,ibnufirdaus,1,Undirected
agasyan,tirtaabimanyu,1,Undirected
agasyan,hilyafesmia,1,Undirected
agasyan,albertusangga,1,Undirected
agasyan,pardede,1,Undirected
agasyan,a-hasan-gar,1,Undirected
agasyan,kianutama,1,Undirected
agasyan,fran-na-jaya-976030120,1,Undirected
agasyan,degoldie-sonny,1,Undirected
agasyan,arkha-sayoga-m,1,Undirected
agasyan,refo-ilmiya-akbar-8b7aa8113,1,Undirected
agasyan,kristiantokt,1,Undirected
agasyan,izznfkhrlislm,1,Undirected
agasyan,rumanta,1,Undirected
agasyan,endrawan-andika-wicaksana-72247b140,1,Undirected
agasyan,fannyah-dita-cahya-970b03138,2,Undirected
agasyan,jonathan-edwin,1,Undirected
agasyan,nixi-sendya-putri-0407a5137,1,Undirected
agasyan,ahmad-nur-barraza-85688a155,1,Undirected
agasyan,yudhistira-erlandinata,1,Undirected
agasyan,kautsar-fadlillah-b0370713b,1,Undirected
agasyan,aldihilmanr,1,Undirected
agasyan,arielmiki,1,Undirected
agasyan,alputri,1,Undirected
agasyan,widijanto,1,Undirected
agasyan,aselhidayat,1,Undirected
agasyan,anishainas,1,Undirected
agasyan,rehanhawari,1,Undirected
agasyan,dzakyluthfi,1,Undirected
agasyan,aldobima,1,Undirected
agasyan,alsabila-shakina-prasetyo-636887155,1,Undirected
agasyan,iamrulloh,1,Undirected
agasyan,pakpahanjuan46,1,Undirected
agasyan,argaghulamahmad,1,Undirected
agasyan,firandra-savitri,1,Undirected
agasyan,fajrinmk,1,Undirected
agasyan,claudio-yosafat-napitupulu,1,Undirected
agasyan,hema-mitta-kalyani,1,Undirected
agasyan,muhammad-fakhrillah-a-b9859a116,2,Undirected
agasyan,izzatul-muttaqin-958947128,1,Undirected
agasyan,ranisianipar,2,Undirected
agasyan,ichlasul-affan,1,Undirected
agasyan,fauzan-deni,2,Undirected
agasyan,firmanhp,1,Undirected
agasyan,wuriandita,1,Undirected
agasyan,kerenza-doxolodeo-916131158,1,Undirected
agasyan,wildanfahmig,1,Undirected
agasyan,rayzaarasj,1,Undirected
agasyan,mettaanantha,1,Undirected
agasyan,jihadrinaldi,1,Undirected
agasyan,muzakkiha,1,Undirected
agasyan,muhammad-daffa-mahathir,1,Undirected
agasyan,albadrun,1,Undirected
agasyan,fariqodri,1,Undirected
agasyan,ezra-rizkiatama,2,Undirected
agasyan,ramawidragamaputra,1,Undirected
agasyan,azharkurnia,1,Undirected
agasyan,bagasirwansyah,1,Undirected
agasyan,rezarp97,2,Undirected
agasyan,m-ilham-peruzzi-2695b6155,2,Undirected
agasyan,samuel-febrian-0118a4155,2,Undirected
agasyan,rahmaniaam,1,Undirected
agasyan,muhammad-at-thoriq,2,Undirected
